Source,Job Title,Company,Location,Country,Post Date,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Position
LinkedIn,Data Analyst,MarshBerry,Cleveland,United States,2025-02-24,Excel,R,,,,,,,Entry level
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Levi Strauss & Co.,San Francisco,United States,2025-02-26,Python,SQL,Excel,Tableau,R,Statistics,,,Senior
LinkedIn,Data Analyst,Qualcomm,San Diego,United States,2025-02-27,Python,SQL,Excel,Tableau,Power BI,R,Statistics,Machine Learning,Entry level
LinkedIn,Data Analyst,TieTalent,Virginia,United States,2025-02-18,Python,SQL,Excel,Tableau,Power BI,R,,,Intermediate
LinkedIn,Data Analyst,MarshBerry,Cleveland,United States,2025-02-24,Excel,R,,,,,,,Entry level
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Levi Strauss & Co.,San Francisco,United States,2025-02-26,Python,SQL,Excel,Tableau,R,Statistics,,,Senior
LinkedIn,Data Analyst,Qualcomm,San Diego,United States,2025-02-27,Python,SQL,Excel,Tableau,Power BI,R,Statistics,Machine Learning,Entry level
LinkedIn,Data Analyst,TieTalent,Virginia,United States,2025-02-18,Python,SQL,Excel,Tableau,Power BI,R,,,Intermediate
LinkedIn,Data Analyst,MarshBerry,Cleveland,United States,2025-02-24,Excel,R,,,,,,,Entry level
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Levi Strauss & Co.,San Francisco,United States,2025-02-26,Python,SQL,Excel,Tableau,R,Statistics,,,Senior
LinkedIn,Data Analyst,Qualcomm,San Diego,United States,2025-02-27,Python,SQL,Excel,Tableau,Power BI,R,Statistics,Machine Learning,Entry level
LinkedIn,Data Analyst,TieTalent,Virginia,United States,2025-02-18,Python,SQL,Excel,Tableau,Power BI,R,,,Intermediate
LinkedIn,Data Analyst,MarshBerry,Cleveland,United States,2025-02-24,Excel,R,,,,,,,Entry level
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Levi Strauss & Co.,San Francisco,United States,2025-02-26,Python,SQL,Excel,Tableau,R,Statistics,,,Senior
LinkedIn,Data Analyst,Qualcomm,San Diego,United States,2025-02-27,Python,SQL,Excel,Tableau,Power BI,R,Statistics,Machine Learning,Entry level
LinkedIn,Data Analyst,TieTalent,Virginia,United States,2025-02-18,Python,SQL,Excel,Tableau,Power BI,R,,,Intermediate
LinkedIn,Analyst,Puig,New York,United States,2025-02-26,Excel,Power BI,R,,,,,,Intermediate
LinkedIn,Market Data Analyst,Modus Health Group,Jenkintown,United States,2025-02-23,R,,,,,,,,Senior
LinkedIn,Data Analyst,Stahlbush Island Farms,Corvallis,United States,2025-02-24,SQL,Excel,Power BI,R,Statistics,,,,Senior
LinkedIn,Data Analyst,CBTS,Merrillville,United States,2025-02-24,SQL,Excel,Power BI,R,,,,,Intermediate
LinkedIn,Data Analyst,Robert Half,Jackson,United States,2025-02-24,SQL,R,,,,,,,Senior
LinkedIn,Data Analyst,Revel IT,Merrillville,United States,2025-02-24,SQL,Excel,Power BI,R,,,,,Intermediate
LinkedIn,Data Analyst,Chime,New York,United States,2025-02-26,Python,SQL,Excel,Tableau,R,Statistics,,,Senior
LinkedIn,Senior Data Analyst,Circle K,Tempe,United States,2025-02-15,Python,SQL,Power BI,R,,,,,Senior
LinkedIn,Data Analyst,SBH Fashion,New York,United States,2025-02-28,Python,SQL,Excel,Tableau,R,,,,Intermediate
LinkedIn,Data Analyst,InterEx Group,United States,United States,2025-02-19,SQL,R,Statistics,,,,,,Entry level
LinkedIn,Data Analyst,Shaker Recruitment Marketing,Oak Park,United States,2025-02-24,Python,Excel,Tableau,R,,,,,Intermediate
LinkedIn,Business Data Analyst,Genpact,New York,United States,2025-02-26,SQL,Excel,R,,,,,,Entry level
LinkedIn,Data Analyst 3,TieTalent,California,United States,2025-02-18,Python,SQL,Excel,Tableau,Power BI,R,Machine Learning,,Intermediate
LinkedIn,Data Analyst,Hype and Vice,Los Angeles,United States,2025-02-21,Excel,R,,,,,,,Entry level
LinkedIn,Data Analyst,Mingledorff's,Peachtree Corners,United States,2025-02-24,SQL,Tableau,R,Statistics,,,,,Entry level
LinkedIn,Data Analyst,Tata Consultancy Services,Jersey City,United States,2025-02-21,Python,SQL,Excel,R,,,,,Intermediate
LinkedIn,Data Analyst,NexThreat,Alabama,United States,2025-02-24,Power BI,R,,,,,,,Senior
LinkedIn,Data Analyst,NexThreat,Huntsville,United States,2025-02-24,Power BI,R,,,,,,,Senior
LinkedIn,Data Analyst,Bloomberg Industry Group,Arlington,United States,2025-02-26,Excel,R,,,,,,,Entry level
LinkedIn,Data Analyst,Criteo,New York,United States,2025-02-25,Python,SQL,Tableau,R,Statistics,,,,Senior
LinkedIn,Data Analyst,Kforce Inc,Orlando,United States,2025-02-17,SQL,Excel,R,,,,,,Entry level
LinkedIn,Data Analyst,PIPECARE Group,Houston,United States,2025-02-24,Excel,R,,,,,,,Entry level
LinkedIn,Business Intelligence Analyst,Pandora,New York,United States,2025-02-22,Python,SQL,Excel,Power BI,R,,,,Entry level
LinkedIn,Data Analyst,Brown & Brown,Daytona Beach,United States,2025-02-24,Excel,R,,,,,,,Entry level
LinkedIn,Data Analyst,NexThreat,Huntsville,United States,2025-02-24,Excel,Power BI,R,,,,,,Intermediate
LinkedIn,Data Analyst,HCLTech,United States,United States,2025-02-14,Python,SQL,Excel,R,Statistics,,,,Senior
LinkedIn,Data Analyst,Athena Bitcoin,Miami,United States,2025-02-24,Python,SQL,Tableau,Power BI,R,Statistics,,,Senior
LinkedIn,Senior Data Analyst,V Group Inc.,Richmond,United States,2025-02-24,Excel,R,,,,,,,Senior
LinkedIn,Marketing Data Analyst,OverDrive,Greater Cleveland,United States,2025-02-20,SQL,Excel,Tableau,R,Statistics,,,,Entry level
LinkedIn,Data Analyst,AARATECH,New York City Metropolitan Area,United States,2025-02-24,SQL,Excel,Tableau,Power BI,R,Statistics,,,Senior
LinkedIn,Data Analyst,AARATECH,Washington DC-Baltimore Area,United States,2025-02-25,SQL,Excel,Tableau,Power BI,R,Statistics,,,Senior
LinkedIn,Data Analyst 1,Kforce Inc,Beaverton,United States,2025-02-21,Python,SQL,Excel,Tableau,R,,,,Entry level
LinkedIn,Data Analyst,Red Oak Technologies,Austin,United States,2025-02-22,Python,SQL,Excel,Tableau,Power BI,R,Machine Learning,,Intermediate
LinkedIn,Data Analyst,Celerity,Santa Ana,United States,2025-02-28,SQL,Excel,Tableau,R,,,,,Intermediate
LinkedIn,Data Analyst,TieTalent,Virginia,United States,2025-02-18,SQL,Excel,R,Statistics,Machine Learning,,,,Entry level
LinkedIn,Data Analyst,CINQCARE,United States,United States,2025-02-21,R,,,,,,,,Senior
LinkedIn,Senior Data Analyst,Octave,United States,United States,2025-02-14,SQL,Tableau,R,,,,,,Senior
LinkedIn,Data Analyst,Tata Consultancy Services,Mountain View,United States,2025-02-15,Python,SQL,Excel,R,,,,,Intermediate
LinkedIn,Data Analyst,TikTok,San Francisco,United States,2025-02-23,Python,SQL,Excel,Tableau,Power BI,R,Statistics,,Senior
LinkedIn,Data Analyst,Coders Data,Seattle,United States,2025-02-27,Python,SQL,R,Statistics,Machine Learning,,,,Entry level
LinkedIn,Data Analyst,Apex Systems,Charlotte,United States,2025-02-24,Python,SQL,R,,,,,,Senior
LinkedIn,Data Analyst,iHeartMedia,Austin,United States,2025-02-25,SQL,R,,,,,,,Senior
LinkedIn,Data Analyst,Kforce Inc,Atlanta,United States,2025-02-21,SQL,Tableau,R,,,,,,Intermediate
LinkedIn,Data Analyst II,Modea,Nashville,United States,2025-02-22,Python,SQL,Excel,Tableau,R,,,,Intermediate
LinkedIn,Data Analyst,The Home Depot,Atlanta,United States,2025-02-22,SQL,R,Statistics,Machine Learning,,,,,Entry level
LinkedIn,Data Analyst,Aimé Leon Dore,New York,United States,2025-02-20,SQL,Excel,Tableau,Power BI,R,Statistics,,,Senior
LinkedIn,Data Analyst,MarshBerry,Cleveland,United States,2025-02-24,Excel,R,,,,,,,Entry level
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Microsoft,Redmond,United States,2025-02-24,Python,SQL,R,Statistics,,,,,Senior
LinkedIn,Data Analyst,Levi Strauss & Co.,San Francisco,United States,2025-02-26,Python,SQL,Excel,Tableau,R,Statistics,,,Senior
LinkedIn,Data Analyst,Qualcomm,San Diego,United States,2025-02-27,Python,SQL,Excel,Tableau,Power BI,R,Statistics,Machine Learning,Entry level
LinkedIn,Data Analyst,TieTalent,Virginia,United States,2025-02-18,Python,SQL,Excel,Tableau,Power BI,R,,,Intermediate
LinkedIn,Analyst,Puig,New York,United States,2025-02-26,Excel,Power BI,R,,,,,,Intermediate
LinkedIn,Market Data Analyst,Modus Health Group,Jenkintown,United States,2025-02-23,R,,,,,,,,Senior
LinkedIn,Data Analyst,Stahlbush Island Farms,Corvallis,United States,2025-02-24,SQL,Excel,Power BI,R,Statistics,,,,Senior
LinkedIn,Data Analyst,CBTS,Merrillville,United States,2025-02-24,SQL,Excel,Power BI,R,,,,,Intermediate
LinkedIn,Data Analyst,Robert Half,Jackson,United States,2025-02-24,SQL,R,,,,,,,Senior
LinkedIn,Data Analyst,Revel IT,Merrillville,United States,2025-02-24,SQL,Excel,Power BI,R,,,,,Intermediate
LinkedIn,Data Analyst,Chime,New York,United States,2025-02-26,Python,SQL,Excel,Tableau,R,Statistics,,,Senior
LinkedIn,Data Analyst,SBH Fashion,New York,United States,2025-02-28,Python,SQL,Excel,Tableau,R,,,,Intermediate
LinkedIn,Data Analyst,InterEx Group,United States,United States,2025-02-19,SQL,R,Statistics,,,,,,Entry level
LinkedIn,Data Analyst,Shaker Recruitment Marketing,Oak Park,United States,2025-02-24,Python,Excel,Tableau,R,,,,,Intermediate
