Source,Job Title,Company,Location,Country,Job Type,Experience Required,Skills Required,Salary,Post Date,Industry,Company Size,Description Summary,Job URL
LinkedIn,Data Analyst,MarshBerry,"Cleveland, OH",United States,N/A,N/A,"Excel, R",N/A (Not Listed),2025-02-24,N/A,N/A,"MarshBerry is growing! We are seeking a Data Analyst to join our team. We have a people first, fast",https://www.linkedin.com/jobs/view/data-analyst-at-marshberry-4167075060?position=1&pageNum=0&refId=DaDo0LiDHr4iDNS2TkTFXw%3D%3D&trackingId=lKR6ZR9V2XMiZSnjENp97w%3D%3D
LinkedIn,Data Analyst,Microsoft,United States,United States,N/A,N/A,"Python, SQL, R, Statistics",N/A (Not Listed),2025-02-24,N/A,N/A,Are you passionate about using cutting-edge technologies & capabilities across Microsoft’s Intellige,https://www.linkedin.com/jobs/view/data-analyst-at-microsoft-4164539274?position=2&pageNum=0&refId=DaDo0LiDHr4iDNS2TkTFXw%3D%3D&trackingId=EEpIXjoN3UYa0HxkHXjiJQ%3D%3D
LinkedIn,Data Analyst,Microsoft,"Redmond, WA",United States,N/A,N/A,"Python, SQL, R, Statistics",N/A (Not Listed),2025-02-24,N/A,N/A,Are you passionate about using cutting-edge technologies & capabilities across Microsoft’s Intellige,https://www.linkedin.com/jobs/view/data-analyst-at-microsoft-4164538378?position=3&pageNum=0&refId=DaDo0LiDHr4iDNS2TkTFXw%3D%3D&trackingId=5DGdOyXCnw2FvxLNChFX2Q%3D%3D
LinkedIn,**** *******,******* ********* & ********** *******,"*** ****, **",United States,N/A,N/A,"Python, SQL, Excel, Tableau, Power BI, R, Machine Learning",N/A (Not Listed),N/A,N/A,N/A,"As a Data Analyst for Natixis CIB Americas, you will play a pivotal role in driving data-informed de",https://www.linkedin.com/jobs/view/data-analyst-at-natixis-corporate-investment-banking-4170887602?position=4&pageNum=0&refId=DaDo0LiDHr4iDNS2TkTFXw%3D%3D&trackingId=nRZBOYxpPkaE08Lpa1J9PA%3D%3D
LinkedIn,**** *******,**** ******* & **.,"*** *********, **",United States,N/A,N/A,"Python, SQL, Excel, Tableau, R, Statistics",N/A (Not Listed),2025-02-26,N/A,N/A,"Job DescriptionCalling all originals: At Levi Strauss & Co., you can be yourself — and be part of so",https://www.linkedin.com/jobs/view/data-analyst-at-levi-strauss-co-4166596106?position=5&pageNum=0&refId=DaDo0LiDHr4iDNS2TkTFXw%3D%3D&trackingId=LKxvJvj1eljQQbfNuORoNg%3D%3D
LinkedIn,**** *******,********,"*** *****, **",United States,N/A,N/A,"Python, SQL, Excel, Tableau, Power BI, R, Statistics, Machine Learning",N/A (Not Listed),2025-02-27,N/A,N/A,"CompanyQualcomm Technologies, Inc.Job AreaMiscellaneous Group, Miscellaneous Group > Data AnalystGen",https://www.linkedin.com/jobs/view/data-analyst-at-qualcomm-4168747100?position=6&pageNum=0&refId=DaDo0LiDHr4iDNS2TkTFXw%3D%3D&trackingId=nhV1Lyy4HQ%2FWfoIkKPmR3w%3D%3D
LinkedIn,**** *******,*********,"********, ****** ******",United States,N/A,N/A,"Python, SQL, Excel, Tableau, Power BI, R",N/A (Not Listed),2025-02-18,N/A,N/A,AboutData Analyst #844Clearance: U.S. Citizenship is required. Must be able to obtain Public Trust c,https://www.linkedin.com/jobs/view/data-analyst-at-tietalent-4157958018?position=7&pageNum=0&refId=DaDo0LiDHr4iDNS2TkTFXw%3D%3D&trackingId=zS0umPdb3i%2B9X3qK2MbZxQ%3D%3D
LinkedIn,Data Analyst,MarshBerry,"Cleveland, OH",United States,N/A,N/A,"Excel, R",N/A (Not Listed),2025-02-24,N/A,N/A,"MarshBerry is growing! We are seeking a Data Analyst to join our team. We have a people first, fast",https://www.linkedin.com/jobs/view/data-analyst-at-marshberry-4167075060?position=1&pageNum=0&refId=Sq3BiVUmp%2FqjEmZ1YJ9tRA%3D%3D&trackingId=JkarOoTpRScr8RABxvXKKA%3D%3D
LinkedIn,Data Analyst,Microsoft,United States,United States,N/A,N/A,"Python, SQL, R, Statistics",N/A (Not Listed),2025-02-24,N/A,N/A,Are you passionate about using cutting-edge technologies & capabilities across Microsoft’s Intellige,https://www.linkedin.com/jobs/view/data-analyst-at-microsoft-4164539274?position=2&pageNum=0&refId=Sq3BiVUmp%2FqjEmZ1YJ9tRA%3D%3D&trackingId=kOcGgfyn0JdWCjRt4X2p6g%3D%3D
LinkedIn,Data Analyst,Microsoft,"Redmond, WA",United States,N/A,N/A,"Python, SQL, R, Statistics",N/A (Not Listed),2025-02-24,N/A,N/A,Are you passionate about using cutting-edge technologies & capabilities across Microsoft’s Intellige,https://www.linkedin.com/jobs/view/data-analyst-at-microsoft-4164538378?position=3&pageNum=0&refId=Sq3BiVUmp%2FqjEmZ1YJ9tRA%3D%3D&trackingId=yTfBLezm7krkBkVbtA%2FJaQ%3D%3D
LinkedIn,**** *******,******* ********* & ********** *******,"*** ****, **",United States,N/A,N/A,"Python, SQL, Excel, Tableau, Power BI, R, Machine Learning",N/A (Not Listed),N/A,N/A,N/A,"As a Data Analyst for Natixis CIB Americas, you will play a pivotal role in driving data-informed de",https://www.linkedin.com/jobs/view/data-analyst-at-natixis-corporate-investment-banking-4170887602?position=4&pageNum=0&refId=Sq3BiVUmp%2FqjEmZ1YJ9tRA%3D%3D&trackingId=30XJZguOElvJPd4CdupiXg%3D%3D
LinkedIn,**** *******,**** ******* & **.,"*** *********, **",United States,N/A,N/A,"Python, SQL, Excel, Tableau, R, Statistics",N/A (Not Listed),2025-02-26,N/A,N/A,"Job DescriptionCalling all originals: At Levi Strauss & Co., you can be yourself — and be part of so",https://www.linkedin.com/jobs/view/data-analyst-at-levi-strauss-co-4166596106?position=5&pageNum=0&refId=Sq3BiVUmp%2FqjEmZ1YJ9tRA%3D%3D&trackingId=LDxkzubcbhJErqiqrVS9Qg%3D%3D
LinkedIn,**** *******,********,"*** *****, **",United States,N/A,N/A,"Python, SQL, Excel, Tableau, Power BI, R, Statistics, Machine Learning",N/A (Not Listed),2025-02-27,N/A,N/A,"CompanyQualcomm Technologies, Inc.Job AreaMiscellaneous Group, Miscellaneous Group > Data AnalystGen",https://www.linkedin.com/jobs/view/data-analyst-at-qualcomm-4168747100?position=6&pageNum=0&refId=Sq3BiVUmp%2FqjEmZ1YJ9tRA%3D%3D&trackingId=oexHu7Hqdx3NaScdbL%2BxmA%3D%3D
LinkedIn,**** *******,*********,"********, ****** ******",United States,N/A,N/A,"Python, SQL, Excel, Tableau, Power BI, R",N/A (Not Listed),2025-02-18,N/A,N/A,AboutData Analyst #844Clearance: U.S. Citizenship is required. Must be able to obtain Public Trust c,https://www.linkedin.com/jobs/view/data-analyst-at-tietalent-4157958018?position=7&pageNum=0&refId=Sq3BiVUmp%2FqjEmZ1YJ9tRA%3D%3D&trackingId=V1aEo8g6GGE3QodzWK3Gpw%3D%3D
